Artistas,Link,Descripción,Responsable,Produción
Bandoneón / dirección: Jürgen Karthe,No aplica,No aplica,No aplica,No aplica
piano: Fabian Klentzke,No aplica,No aplica,No aplica,No aplica
contrabajo: Robert Brenner,No aplica,No aplica,No aplica,No aplica
voz / percusión: Saul Villao Crespo,No aplica,No aplica,No aplica,No aplica
guitarra: Leandro Raszkewicztuba: Dietrich Zöllner,No aplica,No aplica,No aplica,No aplica
Bandoneones:,No aplica,No aplica,No aplica,No aplica
Violines:,No aplica,No aplica,No aplica,No aplica
Osvaldo Pugliese,Jorge Maciel,Nelson Pino y muchos mas,https://www.ivoox.com/cita-con-el-tango-osvaldo-pugliese-jorge-audios-mp3_rf_62350910_1.html,"En esta Cita Con El Tango presentamos, ”Alfredo Goddi, Alfredo del Rio, ”, escucharemos"
Poesía – Walt Whitman,https://co.ivoox.com/es/buhardilla-poesia-8211-walt-whitman-audios-mp3_rf_56704113_1.html,"En esta ocasión en La Buhardilla presentamos, “Poesía – Walt Whitman”, Una velada en la biblioteca de La Buhardilla escuchando del viejo Walt Whitman, música y poesía. /--/Realizador: Jose Fernando Marin  /--/Fecha de emisión: 18 Julio 2003",David Vargas,Productor: Luz Mery Bermúdez
Poesia Musica y Radio,https://www.ivoox.com/buhardilla-poesia-musica-radio-audios-mp3_rf_68712488_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Un pasaporte a la imaginacion,https://co.ivoox.com/es/buhardilla-pasaporte-a-imaginacion-audios-mp3_rf_55120854_1.html,"La Buhardilla, Un pasaporte a la imaginación, viaje con nosotros en el maravilloso mundo de la literatura. /--/ Realizador: José Fernando Marín /--/ Fecha de emisión: 5 Julio 2020",David Vargas,Productor: Luz Mery Bermúdez
Poesia de Jhorch Ischaide,https://co.ivoox.com/es/buhardilla-poesia-jhorch-ischaide-audios-mp3_rf_55116266_1.html,"Esta ocasión en La Buhardilla, presentamos “Poesía de Jhorch Ischaide“, poeta francés del siglo XX, “Volver a la poesía de Jhorch Ischaide, es como ir a una fuente de agua pura”.  /--/Realizador: José Fernando Marín /--/Fecha de emisión: 12 Julio 2020.",David Vargas,Productor: Luz Mery Bermúdez
Cocó Chanel y la Moda,https://co.ivoox.com/es/buhardilla-coco-chanel-moda-audios-mp3_rf_55121721_1.html,"En esta ocasión de La Buhardilla, presentamos “Cocó Chanel y la Moda”, música, charla, y moda. /--/Realizador: José Fernando Marín /--/Fecha de emisión: 19 Julio 2020",David Vargas,Productor: Luz Mery Bermúdez
El Arte De Envejecer,https://co.ivoox.com/es/buhardilla-el-arte-de-envejecer-audios-mp3_rf_55127125_1.html,"En esta ocasión en La Buhardilla, presentamos “El arte de envejecer”, una charla en la mágica biblioteca de la buhardilla. /--/Realizador: José Fernando Marín /--/Fecha de emisión: 26 Julio 2020",David Vargas,Productor: Luz Mery Bermúdez
El Principito - Mas De Lo Que Parece,https://co.ivoox.com/es/buhardilla-el-principito-mas-de-audios-mp3_rf_55693571_1.html,"En este episodio de La Buhardilla presentamos, “El Principito – Mas De Lo Que Parece”, una crítica a la adultez. /--/Realizador: José Fernando Marín /--/Fecha de emisión: 2 Agosto 2020",David Vargas,Productor: Luz Mery Bermúdez
Oscar Wilde - Juicio Condena Prision,https://co.ivoox.com/es/buhardilla-oscar-wilde-juicio-condena-audios-mp3_rf_55695654_1.html,"En La Buhardilla presentamos, “Oscar Wilde – Juicio Condena Prision”, su historia personal y paso por prisión defendiendo su orgullo. /--/Realizador: Jose Fernando Marin /--/Fecha de emisión: 9 Agosto 2020",David Vargas,Productor: Luz Mery Bermúdez
Chavela Vargas,https://www.ivoox.com/buhardilla-chavela-vargas-audios-mp3_rf_60979553_1.html,"En esta ocasión en La Buhardilla presentamos, “Chavela Vargas”, Charlamos del libro “Dos Vidas Necesito – Las Verdades De Chavela”, café, música e historias. Realizador: Jose Fernando Marin. Fecha de emisión: 6 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
El Dia Del Amor Y La Amistad,https://www.ivoox.com/buhardilla-el-dia-del-amor-y-audios-mp3_rf_60980263_1.html,"Hoy en La Buhardilla festejamos, “El Dia Del Amor Y La Amistad”, acompáñenos en esta tertulia hoy este día tan especial, el día de los novios",No aplica,No aplica
Memorias Jesus Franco 36 Años,https://www.ivoox.com/buhardilla-memorias-jesus-franco-36-anos-audios-mp3_rf_73002702_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
El Dia Del Amor Y La Amistad 2,https://www.ivoox.com/buhardilla-el-dia-del-amor-y-audios-mp3_rf_60981028_1.html,"Esta vez en La Buhardilla seguimos charlando sobre, “El Dia Del Amor Y La Amistad 2”, el amor no es solo una afinidad con otra persona, el amor va mas allá de ello",No aplica,No aplica
Filosofía con Liliana Herrera Álzate,https://www.ivoox.com/buhardilla-filosofia-liliana-herrera-alzate-audios-mp3_rf_60981395_1.html,"Esta vez en La Buhardilla presentamos, “Filosofía con Liliana Herrera Álzate”, relatos y biografia sobre esta querida personalidad Pereirana",No aplica,No aplica
Homenaje a - Quino - Mafalda,https://www.ivoox.com/buhardilla-homenaje-a-quino-audios-mp3_rf_61050761_1.html,"Esta ocasión de La Buhardilla presentamos, “Homenaje a - Quino - Mafalda”, opiniones, datos, e historias, de este memorable personaje y su obra",No aplica,No aplica
Enciclica Fratelli Tutti – Francisco De Asis,https://www.ivoox.com/buhardilla-enciclica-fratelli-tutti-8211-francisco-audios-mp3_rf_61051069_1.html,"En este episodio de La Buhardilla presentamos, “Enciclica Fratelli Tutti – Francisco De Asis”, Fraternidad y amista social son las vias para construir un mundo mejor, mas justo y pacifico, con el compromiso de todos.  Realizador: Jose Fernando Marin. Fecha de emisión: 11 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
El Infinito En Un Junco – Irene Vallejo,https://www.ivoox.com/buhardilla-el-infinito-en-un-junco-audios-mp3_rf_61051308_1.html,"Hoy en La Buhardilla presentamos, “El Infinito En Un Junco – Irene Vallejo”, La invención de los libros en el mundo antiguo. Realizador: Jose Fernando Marin. Fecha de emisión: 18 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Marilyn Monroe,https://www.ivoox.com/buhardilla-marilyn-monroe-audios-mp3_rf_61051520_1.html,"Esta vez en La Buhardilla presentamos, “Recordando a Marilyn Monroe”, música, biografia e historia. Realizador: Jose Fernando Marin. Fecha de emisión: 25 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
El Arte De Conversar,https://www.ivoox.com/buhardilla-el-arte-de-conversar-audios-mp3_rf_68711399_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Feministas Colombianas,https://www.ivoox.com/buhardilla-feministas-colombianas-audios-mp3_rf_68711632_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Carlos Vicente,https://www.ivoox.com/buhardilla-carlos-vicente-audios-mp3_rf_68711892_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Hessen,https://www.ivoox.com/buhardilla-hessen-audios-mp3_rf_68712064_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Venicius De Moraes,https://www.ivoox.com/buhardilla-venicius-de-moraes-audios-mp3_rf_68712217_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
El Infinito En Un Junco 02,https://www.ivoox.com/buhardilla-el-infinito-en-un-junco-audios-mp3_rf_68712689_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Alfredo Hoyos Mazuera 1946-2020,https://www.ivoox.com/buhardilla-especial-alfredo-hoyos-mazuera-en-audios-mp3_rf_62716919_1.html,"Esta vez en La Buhardilla presentamos, En memoria de Don “Alfredo Hoyos Mazuera”.",No aplica,No aplica
Ines Rendon - La Buhardilla 35 Años,https://www.ivoox.com/35-anos-la-buhardilla-recordando-a-audios-mp3_rf_68713108_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Horoscopo Gatuno,https://www.ivoox.com/buhardilla-horoscopo-gatuno-audios-mp3_rf_68969336_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Juan Guillermo Angel Mejia,https://www.ivoox.com/buhardilla-juan-guillermo-angel-mejia-audios-mp3_rf_68971864_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Fundacion Haga Caso,https://www.ivoox.com/buhardilla-fundacion-haga-caso-audios-mp3_rf_68969755_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Luz Estela Gil - Secretaria De Cultura,https://www.ivoox.com/buhardilla-luz-estela-gil-secretaria-audios-mp3_rf_68970681_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Diana Vega se despide de la Emisora Cultural,https://www.ivoox.com/buhardilla-diana-vega-se-despide-de-audios-mp3_rf_68971061_1.html,Diana Vega y su historia como directora de la emisora cultural de Pereira.,David Vargas,Productor: Luz Mery Bermúdez
Chavela Vargas 2,https://www.ivoox.com/buhardilla-chavela-vargas-02-audios-mp3_rf_68971474_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Lengua Erotica,https://www.ivoox.com/buhardilla-lengua-erotica-audios-mp3_rf_69051775_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Charlando Con Jaime Ochoa,https://www.ivoox.com/buhardilla-charlando-jaime-ochoa-audios-mp3_rf_69051979_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Historia De La Lectura,https://www.ivoox.com/buhardilla-historia-lectura-audios-mp3_rf_69052144_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Alfonso Marin Hernandez,https://www.ivoox.com/lb-alfonso-marin-hernandez-12-septiembre-2021-audios-mp3_rf_77123112_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Germinando - Ana Maria Arenas,https://www.ivoox.com/lb-germinando-ana-maria-arenas-3-oct-2021-audios-mp3_rf_79132288_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Post Feria Del Libro,https://www.ivoox.com/lb-post-feria-del-libre-audios-mp3_rf_79132322_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Mauricio Vega L,https://www.ivoox.com/lb-mauricio-vega-l-7-nov-21-audios-mp3_rf_80527256_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Gloria Valencia,https://www.ivoox.com/lb-gloria-valencia-14-nov-21-audios-mp3_rf_80527347_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Camara De Comercion,https://www.ivoox.com/lb-camara-de-comercio-05-dic-2021-audios-mp3_rf_81599924_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Katy James - Byung Chuil Han,https://www.ivoox.com/lb-katy-james-byung-chuil-han-audios-mp3_rf_81600093_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Gildardo Castaño 36 Años,https://www.ivoox.com/lb-gildardo-castano-36-anos-09-ene-2022-audios-mp3_rf_82375564_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Miguel Alvarez De Los Rios RIP,https://www.ivoox.com/lb-miguel-alvarez-de-los-rios-rip-audios-mp3_rf_82375621_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Gonzalo Arango,https://www.ivoox.com/lb-gonzalo-arango-23-ene-2022-audios-mp3_rf_82375710_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
Jesus Franco Ospina,https://www.ivoox.com/lb-jesus-franco-ospina-30-ene-2022-audios-mp3_rf_82375777_1.html,La Buhardilla un pasaporte a la imaginación.,David Vargas,Productor: Luz Mery Bermúdez
156 años de Pereira,https://co.ivoox.com/es/letras-musica-156-anos-pereira-audios-mp3_rf_40638235_1.html,Dedicado a Ricardo Sánchez Arenas a propósito de los 156 años de Pereira. Música de Amaretto Ensamble.,David Vargas,Productor: Luz Mery Bermúdez
Esencia y Misión del Maestro por Julio Cortázar,https://co.ivoox.com/es/letras-musica-esencia-mision-del-audios-mp3_rf_48685878_1.html,"Programa dedicado a la labor de los docentes teniendo como base la publicación ""Esencia y Misión del Maestro"" plasmada por el escritor Julio Cortázar en la revista ""Argentina"" en octubre de 1939.",David Vargas,Productor: Luz Mery Bermúdez
Los Rostros de la Salsa,https://co.ivoox.com/es/letras-musica-los-rostros-la-audios-mp3_rf_48700941_1.html,"En la emisión de este programa, reseñamos la publicación del libro ""Los Rostros de la Salsa"" del cubano Leonardo Padura. Con la cual el melómano desea saber un poco más de todo lo que rodea a la salsa, conociendo la trayectoria de algunos de los más encumbrados artistas de este género.",David Vargas,Productor: Luz Mery Bermúdez
Javier Cercas (Terra Alta),https://co.ivoox.com/es/letras-musica-javier-cercas-terra-alta-audios-mp3_rf_49060384_1.html,"Durante este programa, se hace una reseña interesante del más reciente libro del escritor español Javier Cercas titulado ""Terra Alta"" en el cual una pequeña localidad de España ocurre un crimen terrible a través de una narración trepidante y repleta de personajes memorables, esta novela se convierte en una lúcida reflexión sobre el valor de la ley, la posibilidad de la justicia y la legitimidad de la venganza, pero sobre todo en la epopeya de un hombre en busca de su lugar en el mundo.",David Vargas,Productor: Luz Mery Bermúdez
RICARD –  31/ Marzo,https://co.ivoox.com/es/ricard-31-marzo-audios-mp3_rf_51918886_1.html,"Matthieu Ricard fue bautizado como el hombre más feliz del mundo. Ricard es un monje budista nacido hace 73 años en Francia, hijo del célebre pensador francés Jean-François Revel reconocido por su agnosticismo y su escepticismo ante cualquier forma de metafísica.",No aplica,No aplica
Ricard se doctoro en Biología Molecular en el Instituto Pasteur y trabajo con el premio nobel François Jacob en 1972 decidió abandonar su carrera científica movido por su interés en el budista. Se trasladó al Himalaya,"fue discípulo y asistente del maestro Dilgo Khyentse Rinpoche.""",David Vargas,Productor: Luz Mery Bermúdez,No aplica
Libro: Memoria por correspondencia – Emma Reyes –  07/ abril,https://co.ivoox.com/es/libro-memoria-correspondencia-emma-reyes-audios-mp3_rf_51919593_1.html,Libro: Memoria por correspondencia – Emma Reyes –  07/ abril,No aplica,No aplica
23 cartas dirigidas a German Arciniegas cuentan la historia de una niña Bogotana que nació ilegitima en 1919 y que vivo unos años con su supuesta mamá en la capital,en guateque y en Fusagasugá para luego ser abandonada y entregada a un convento de monjas de donde se fugó cuando dejo de ser niña.,No aplica,No aplica,No aplica
Francisco de Roux 14/abril,https://co.ivoox.com/es/francisco-roux-14-abril-audios-mp3_rf_51920445_1.html,Francisco de Roux 14/abril,No aplica,No aplica
Reflexión del Sacerdote Jesuita,Francisco Roux,No aplica,No aplica,No aplica
"El P. Francisco de Roux es un jesuita que ha trabajado incansablemente por la consecución de la paz en Colombia. Actualmente es el presidente de la Comisión de la Verdad. Compartimos con ustedes un texto que fue publicado el pasado 29 de marzo por el portal Semana de Colombia y que nos invita a una reflexión en profundidad sobre nuestro modo de estar en el mundo y de relacionarnos con todo lo que nos rodea.""",David Vargas,Productor: Luz Mery Bermúdez,No aplica,No aplica
Cuando la tierra nos habla 21/abril,https://co.ivoox.com/es/cuando-tierra-nos-habla-21-abril-audios-mp3_rf_51921406_1.html,22 de abril  Día internacional de la Tierra.,No aplica,No aplica
Cuando la Madre Tierra nos manda un mensaje,No aplica,No aplica,No aplica,No aplica
La Madre Tierra claramente nos pide que actuemos. La naturaleza sufre. Los incendios en Australia,los mayores registros de calor terrestre y la peor invasión de langostas en Kenia... Ahora nos enfrentamos a COVID -19,una pandemia sanitaria mundial con una fuerte relación con la salud de nuestro ecosistema.,No aplica,No aplica
La felicidad clandestina,25 cuentos de1971 28/abril,https://co.ivoox.com/es/felicidad-clandestina-25-cuentos-de1971-28-abril-audios-mp3_rf_51922362_1.html,"Clarice Lispector (Chechelnik, Ucrania 10 de diciembre de 1920-Río de Janeiro, 9 de diciembre de 1977) es considerada la gran escritora brasileña de la segunda mitad del siglo XX y que con un estilo definido como un ""no-estilo"" escribió novelas, cuentos, libros para niños e innumerables crónicas periodísticas.",No aplica
"A los 23 años publicó """"Cerca del corazón salvaje""""",que había escrito a los 19 y por la que recibió el premio Graça Aranha como mejor novela. Ese mismo año se casó con el diplomático Maury Gurgel Valente,a quien conoció mientras estudiaba Derecho,y comenzó una vida familiar acompañándolo por diferentes destinos internacionales en los que continuó su vínculo con la escritura.,No aplica
El Ensayo y Bella Ciao 5/Mayo,https://co.ivoox.com/es/ensayo-bella-ciao-5-mayo-audios-mp3_rf_51949578_1.html,"Género literario desarrollado mediante la prosa y que tiene como finalidad argumentar una opinión bien sea sobre temas filosóficos, científicos, históricos o literarios.",No aplica,No aplica
Los textos que se leerán el día de hoy son tres ensayos sobre lo que podríamos llamar el mundo o el futuro después del Coronavirus.,,No aplica,No aplica,No aplica
El Cuento,https://co.ivoox.com/es/letras-musica-el-cuento-audios-mp3_rf_50748886_1.html,"Programa dedicado al cuento, mostrando su brevedad y caracterizado por una línea argumental única ficticia. Para ello, trae como ejemplo dos escritos: por parte de la ucraniana-brasileña Clarice Lispector con su relato ""Felicidad Clandestina"" y del italiano Antonio Tabucci y su escrito llamado ""Sueño de Henri de Toulouse-Lautrec"" perteneciente a su libro de cuentos ""Sueño de Sueños""",David Vargas,Productor: Luz Mery Bermúdez
La revolución en Rusia y la caída del imperio 12/Mayo,https://co.ivoox.com/es/revolucion-rusia-caida-del-audios-mp3_rf_51949690_1.html,Un  caballero en Moscú  del escritor Amor Towles.,No aplica,No aplica
Marcela Villegas  y Camposanto 19/Mayo,https://co.ivoox.com/es/marcela-villegas-camposanto-19-mayo-audios-mp3_rf_51949821_1.html,Leeremos apartes de la novela Camposanto.,No aplica,No aplica
Talleres de escritura - Marcela Villegas,https://co.ivoox.com/es/talleres-escritura-marcela-villegas-audios-mp3_rf_51463385_1.html,Los talleres de escritura creativa nos dan la oportunidad de conocer nuevos escritores. Es el caso de Marcela Villegas con su primera novela CAMPOSANTO . / La lectura de apartes de esta novela está acompañada de música sobre el recuerdo y el olvido.,David Vargas,Productor: Luz Mery Bermúdez
Maria Luisa Bombla,https://co.ivoox.com/es/maria-luisa-bombla-audios-mp3_rf_51591646_1.html,María Luisa Bombal. Autora de pocas obras pero de gran influencia. Se le considera el origen femenino del realismo mágico. Lectura de la primera parte del cuento El Árbol. Música de Mozart y Beethoven.,David Vargas,Productor: Luz Mery Bermúdez
Canal Encuentro - 07 Julio 2020,https://co.ivoox.com/es/canal-encuentro-07-julio-2020-audios-mp3_rf_53591908_1.html,"Encuentro (estilizado como encuentro) es un canal de televisión abierta argentino de índole cultural, lanzado el 5 de marzo de 2007. La señal se caracteriza tanto por transmitir conocimiento de variados campos educativos, científicos y culturales. Es propiedad de la Secretaría de Medios y Comunicación Pública de la República Argentina y es operado por Contenidos Públicos S.E..",No aplica,No aplica
"En 2017 fue reconocido por la Fundación Konex con una Mención Especial por su trabajo en la última década y su aporte a la Comunicación y el Periodismo de la Argentina.""",David Vargas,Productor: Luz Mery Bermúdez,No aplica,No aplica
Escritor Japonés Kawabata - 21 Julio 2020,https://co.ivoox.com/es/escritor-japones-kawabata-21-julio-2020-audios-mp3_rf_54292484_1.html,Yasunari Kawabata,No aplica,No aplica
James Rhodes: Libro Instrumental  – 28/Julio,https://co.ivoox.com/es/james-rhodes-libro-instrumental-8211-28-julio-audios-mp3_rf_54662113_1.html,James Rhodes: Libro Instrumental  – 28/Julio,No aplica,No aplica
Memoria de Música,Medicina y Locura.,No aplica,No aplica,No aplica
“Me violaron a los seis años. Me internaron en un psiquiátrico. Fui drogadicto y alcohólico. Me intenté suicidar cinco veces. Perdí la custodia de mi hijo. Pero no voy a hablar de eso. Voy a hablar de música. Porque me salvó la vida. Y yo amo la vida”,"dice el pianista James Rhodes en la contratapa de su libro Instrumental.""",David Vargas,Productor: Luz Mery Bermúdez,No aplica
Cuentos para niños indigenas - Parte 3,https://co.ivoox.com/es/libreria-fantastica-cuentos-para-ninos-indigenas-audios-mp3_rf_52597642_1.html,En esta entrega de La Librería Fantástica presentamos la tercera parte de “cuentos para niños indígenas”. /Realizador: Patricia Zorro,David Vargas,Productor: Luz Mery Bermúdez
El Principe Mendigo,https://co.ivoox.com/es/libreria-fantastica-el-principe-el-mendigo-audios-mp3_rf_52597903_1.html,"En este episodio de La Librería Fantástica presentamos El Príncipe Y El Mendigo, también escucharemos historias de los niños en sus hogares ahora en cuarentena. /Realizador: Patricia Zorro.",David Vargas,Productor: Luz Mery Bermúdez
El niño que aprendió a pegar botones en la cuarentena,https://co.ivoox.com/es/liberia-fantastica-el-nino-aprendio-a-audios-mp3_rf_52598023_1.html,"En esta entrega de La Librería Fantástica presentamos “El niño que aprendió a pegar botones en la cuarentena”, anécdota familiar de nuestra presentadora /Realizador: Patricia Zorro.",David Vargas,Productor: Luz Mery Bermúdez
Homenaje a Don Quijote y Miguel de Cervantes,https://co.ivoox.com/es/libreria-fantastica-especial-don-quijote-y-audios-mp3_rf_52598512_1.html,"En este episodio de La Librería Fantástica presentamos un especial, Homenaje a Don Quijote y Miguel de Cervantes Saaved /Realizador: Patricia Zorro.",David Vargas,Productor: Luz Mery Bermúdez
Jose Barros - Homenaje,https://co.ivoox.com/es/libreria-fantastica-jose-barros-homenaje-audios-mp3_rf_53037019_1.html,"En este episodio de la Librería Fantástica homenajeamos a José Barros, escucharemos “El juglar y el pescador”, y escucharemos algunos invitados que nos hablan sobre sus actividades en cuarentena. /Realizador: Patricia Zorro Fecha de emisión: 04/05/2020",David Vargas,Productor: Luz Mery Bermúdez
Dia de las Madres,https://co.ivoox.com/es/libreria-fantastica-dia-madres-audios-mp3_rf_53037866_1.html,"En esta entrega de la Librería Fantástica celebramos el día de las Madres, historia, cuentos, y canciones /Realizador: Patricia Zorro Fecha de emisión: 11/05/2020",David Vargas,Productor: Luz Mery Bermúdez
Especial 30 años,https://co.ivoox.com/es/liberia-fantastica-especial-30-anos-audios-mp3_rf_51458360_1.html,"En un especial de los 30 años de la Emisora Cultural, el programa Librería Fantástica rememora una de sus primeras emisiones rescatada de una grabación en casete.",David Vargas,Productor: Luz Mery Bermúdez
Juan Bolondron y Cerca o lejos,https://co.ivoox.com/es/libreria-fantastica-juan-bolondron-cerca-o-audios-mp3_rf_51644238_1.html,"En este episodio de la Librería Fantástica presentamos dos cuentos de Fernan Caballero, Juan Bolondron, y Cerca o lejos.",David Vargas,Productor: Luz Mery Bermúdez
El silbato magico - Alejandro Dumas Padre,https://co.ivoox.com/es/libreria-fantastica-el-silbato-magico-alejandro-audios-mp3_rf_53143638_1.html,En este episodio de La Librería Fantástica presentamos “El Silbato Mágico de Alejandro Dumas Padre” /--/ Realizador: Patricia Zorro /--/ Fecha de emisión: 08/07/2020,David Vargas,Productor: Luz Mery Bermúdez
El Traje Nuevo Del Emperador - junto a Consuelo Forero,https://co.ivoox.com/es/libreria-fantastica-el-nuevo-traje-del-emperador-audios-mp3_rf_53553601_1.html,En este episodio de La Librería Fantástica presentamos “El Nuevo Traje Del Emperador” adaptada por nuestra Invitada Consuelo Forero junto a su grupo de lecturas de San Critobal Bogota /--/Realizador: Patricia Zorro /--/Fecha de emisión: 06/06/2020,David Vargas,Productor: Luz Mery Bermúdez
La Luz Azul_H.G,Poemas,y rondas infantiles,https://co.ivoox.com/es/luz-azul-poemas-rondas-infantiles-audios-mp3_rf_54649043_1.html,"En este episodio de La Librería Fantástica presentamos, “La Luz Azul - Hermanos Grimm”, del libro “Erase una vez… los mejores cuentos infantiles comentados” por Ana Botella"
Poesias Adivinanzas y Canciones,https://co.ivoox.com/es/libreria-fantastica-poesias-adivinanzas-canciones-audios-mp3_rf_54649196_1.html,"En esta entrega de La Librería Fantástica Presentamos Poesías, adivinanzas, y canciones del tomo N°1 de la enciclopedia “El Mundo De Los Niños”.  /--/Realizador: Patricia Zorro /--/Fecha de emisión: 27 Julio 2020",David Vargas,Productor: Luz Mery Bermúdez
Cuentos Extraordinarios,https://co.ivoox.com/es/libreria-fantastica-cuentos-extraordinarios-audios-mp3_rf_55697583_1.html,"En este episodio de La Librería Fantástica presentamos, “Cuentos Extraordinarios”, escucharemos los cuentos, “El Hilo Rojo Del Destino”, “El Paso De Cebra”, “La Caja De Los Deseos”. /--/Realizador: Patricia Zorro /--/Fecha de emisión: 3 Agosto 2020",David Vargas,Productor: Luz Mery Bermúdez
Cuentos Adaptados Por Alvaro Marín,https://co.ivoox.com/es/libreria-fantastica-cuentos-adaptados-por-alvaro-marin-audios-mp3_rf_55698239_1.html,"En este episodio de La Librería Fantástica presentamos, “Cuentos Adaptados Por Alvaro Marín”, Una Compañía imposible, Juan Pérez Soso, Los 3 Hijos del Rey. /--/Realizador: Patricia Zorro /--/Fecha de emisión: 10 Agosto 2020",David Vargas,Productor: Luz Mery Bermúdez
Al Son Que Me Canten Bailo - Ministerio de Cultura,https://co.ivoox.com/es/libreria-fantastica-al-son-que-me-canten-audios-mp3_rf_56916223_1.html,"En esta ocasión en La Librería Fantástica presentamos, “Al Son Que Me Canten Bailo – Ministerio De Cultura”, cuentos, rondas, historias, y canciones de el Ministerio de Cultura. /--/Realizador: Patricia Zorro /--/Fecha de emisión: 24 Agosto 2020.",David Vargas,Productor: Luz Mery Bermúdez
Nirls Karlson El Enanito – Astrid Lindgren,https://www.ivoox.com/libreria-fantastica-nirls-karlson-el-enanito-8211-audios-mp3_rf_59909493_1.html,"En este episodio de La Librería Fantastica presentamos, “Nirls Karlson El Enanito – Astrid Lindgren”, cuentos y música. Realizador: Patricia Zorro. Fecha de emisión: 7 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Tintín y Rosiflor El regreso de los colores y El Milagro De Un Sanjuanero,https://www.ivoox.com/libreria-fantastica-tintin-rosiflor-el-regreso-audios-mp3_rf_59909909_1.html,"Hoy en La Librería Fantástica presentamos, “Tintín y Rosiflor El regreso de los colores - Ana Sofia Rúgeles Mesa”, y “El Milagro De Un Sanjuanero - Sofia Quintana Gonzales Valencia” del concurso Los Niños Ponen Alas A Su Imaginación. Realizador: Patricia Zorro. Fecha de emisión: 14 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
La Caperucita Roja y Sus Amigos – Jose Fernando Ruiz,https://www.ivoox.com/caperucita-roja-sus-amigos-8211-jose-audios-mp3_rf_59911895_1.html,"Esta vez en La Librería Fantastica presentamos una adaptación de “La Caperucita Roja y Sus Amigos – Jose Fernando Ruiz”, cuentos música y diversión. Realizador: Patricia Zorro, Jose Fernando Ruiz. Fecha de emisión: 28 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
22 Del Terremoto,https://www.ivoox.com/libreria-fantastica-22-anos-del-terremoto-audios-mp3_rf_70668595_1.html,Rememoramos el trágico desastre un día como hoy hace 22 años un 25 de enero,David Vargas,Productor: Luz Mery Bermúdez
Homenaje a La Radio Colombiana,https://www.ivoox.com/libreria-fantastica-homenaje-a-radio-colombiana-audios-mp3_rf_70668644_1.html,"Los libros son fantásticos, los cuentos son fantásticos",No aplica,No aplica
